,Video_id,Title,Published_date,Views,Likes,Comments,Month
471,rIWJWy3_njo,Django in 8 Minutes 🔥,2022-03-08,78274,3165,262,Mar
472,k_UvCSj8A4k,Styling Fixes in our Hunting coder Blog | NextJs Tutorial for Beginners #28,2022-03-07,13500,405,97,Mar
473,Rd8gCtJ5aLo,Designing the About Page | NextJs Tutorial for Beginners #27,2022-03-07,11510,385,53,Mar
474,jp2lI31UUtw,Designing the /contact FrontEnd Page | NextJs Tutorial for Beginners #26,2022-03-06,14708,507,115,Mar
475,nPsrKMmRlCE,Creating an API to save Contact Data | NextJs Tutorial for Beginners #25,2022-03-06,18574,589,67,Mar
476,3nFlaIPs2PY,Rendering HTML text using dangerouslySetInnerHTML in Next.js | NextJs Tutorial for Beginners #24,2022-03-05,18079,583,80,Mar
477,ZvitCMlb9-0,"Static site generation, getStaticProps() & getStaticPaths | NextJs Tutorial for Beginners #23",2022-03-04,24241,685,110,Mar
478,0HXg9_r_7MM,Flask in 6 Minutes 🔥,2022-03-02,59348,2522,232,Mar
479,ZvGoW9p9at0,Server Side Rendering - getServerSideProps() in Next.js | NextJs Tutorial for Beginners #22,2022-03-01,30776,870,126,Mar
480,rabU9vZBoTg,Prerendering Strategies in Next.js | NextJs Tutorial for Beginners #21,2022-02-28,19206,656,85,Feb
481,a0V9B9EsQY0,Fetching BlogPost using /getblog Endpoint | NextJs Tutorial for Beginners #20,2022-02-27,20841,569,78,Feb
482,T_aH6sRlj6A,Using the API Endpoints | NextJs Tutorial for Beginners #19,2022-02-27,23346,674,93,Feb
483,0vL_EhRMFN0,JavaScript in 8 Minutes 👩‍💻,2022-02-25,163864,7262,385,Feb
484,dDRDJfG2EAY,Creating endpoints to get one/all blogposts | NextJs Tutorial for Beginners #18,2022-02-25,23980,651,62,Feb
485,gCssfulsemc,Introduction to API Routes in Next.js | NextJs Tutorial for Beginners #17,2022-02-24,24486,720,80,Feb
486,XkFiZyYdJMo,Adding blog jsons as data | NextJs Tutorial for Beginners #16,2022-02-24,21222,673,87,Feb
487,ccgK9ZCRU8w,Creating Blog and Blogpost page | NextJs Tutorial for Beginners #15,2022-02-23,25616,783,95,Feb
488,40AkRpYSV04,Displaying Navbar on all pages | NextJs Tutorial for Beginners #14,2022-02-23,33813,811,78,Feb
489,eLhlh2RZKRk,Basic Cleanup of Hunting Coder Blog | NextJs Tutorial for Beginners #13,2022-02-22,20331,679,102,Feb
490,pwHf-3stDeE,Styled jsx in Next.js | NextJs Tutorial for Beginners #12,2022-02-22,21614,783,92,Feb
491,walNht-t2DE,Java in 7 Minutes 🔥,2022-02-20,178369,8502,538,Feb
492,dT4OExlRasA,Adding Global Styles in Next.js | NextJs Tutorial for Beginners #11,2022-02-19,24164,759,79,Feb
493,74oyFfAKbEI,[Updated Feb 2022] Laptop models to buy around 70k budget,2022-02-17,129790,5825,885,Feb
494,_fEf0J10gs4,Component Level CSS in Next.js | NextJs Tutorial for Beginners #10,2022-02-16,31963,973,123,Feb
495,_wpd1k3gN08,Link component in Next.js -  Understanding next/link | NextJs Tutorial for Beginners #9,2022-02-15,32028,864,106,Feb
496,-33ywOXKh2M,C++ in 5 Minutes 🔥,2022-02-14,119505,6491,382,Feb
497,E6Bi1TsyrKE,"C++, Java or Python? The best Language for College Placements in India",2022-02-13,197198,10326,527,Feb
498,oEI1DubanW4,"Tailwind CSS Course Conclusion, Wrap-up & where to go from here",2022-02-12,38686,2463,330,Feb
